PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11,time_seconds,Acc_Z_derivative
87,2979310511,19.127517700195312,-87.66024780273438,-163.8047332763672,9.789505958557127,-0.085309661924839,0.2622092664241791,1.1264756917953491,-2.267141819000244,0.6609113216400146, ,0.725,0.20043611526489613
88,2979318844,19.11068153381348,-87.66024780273438,-163.78306579589844,9.796615600585938,-0.0587060824036598,0.2398656904697418,1.1468900442123413,-2.1873788833618164,0.6218239665031433, ,0.7333333333333333,-2.212286889553072
89,2979327177,19.033615112304688,-87.66250610351562,-163.70223999023438,9.81653881072998,-0.0884549915790557,0.2253378182649612,1.1309325695037842,-2.1518261432647705,0.6368594765663147, ,0.7416666666666667,0.6135696172714535
90,2979335510,19.04100608825684,-87.6620101928711,-163.70553588867188,9.773958206176758,-0.0979962423443794,0.2500918507575989,1.058956742286682,-2.191426038742065,0.4938040673732757, ,0.75,-0.5006334185600281
91,2979343843,19.007740020751957,-87.66577911376953,-163.66854858398438,9.797125816345217,-0.0912929028272628,0.2169939279556274,1.1309069395065308,-2.3603262901306152,0.4808432459831238, ,0.7583333333333333,0.311967730522154
92,2979352176,19.02129173278809,-87.66544342041016,-163.6788330078125,9.811075210571287,-0.0831436291337013,0.2552913129329681,0.969024896621704,-2.2225983142852783,0.4684715270996094, ,0.7666666666666666,-0.015350282192171605
93,2979360509,18.99285316467285,-87.66938781738281,-163.64744567871094,9.824371337890623,-0.1073069497942924,0.2167380899190902,1.0443308353424072,-2.3363513946533203,0.4424219131469726, ,0.775,0.3654474020004965
94,2979368842,19.02298164367676,-87.66963958740234,-163.67324829101562,9.828484535217283,-0.0813464894890785,0.2613821029663086,1.0997856855392456,-2.2956247329711914,0.4143999218940735, ,0.7833333333333333,0.44952660799026845
95,2979377175,18.98444938659668,-87.67207336425781,-163.6317138671875,9.800777435302734,-0.1056416854262352,0.2242302000522613,1.0141828060150146,-2.215298175811768,0.4516942501068115, ,0.7916666666666666,-0.811379849910784
96,2979385508,19.0095272064209,-87.6725845336914,-163.65255737304688,9.842000961303713,-0.0760069191455841,0.2478591054677963,1.0932538509368896,-2.3394761085510254,0.4556899964809418, ,0.8,0.044643580913508174
